country,cases,deaths,deaths_per_million,death_rate,cases_per_1000,,
World[a],779056637,893,893,0,779057,,
Peru,4533436,6603,6603,0,4533,,
Bulgaria,1341065,5681,5681,0,1341,,
North Macedonia,352093,5429,5429,0,352,,
Bosnia and Herzegovina,404289,5123,5123,0,404,,
Hungary,2240737,5072,5072,0,2241,,
Croatia,1371473,4813,4813,0,1371,,
Slovenia,1366814,4686,4686,0,1367,,
Georgia,1864337,4519,4519,0,1864,,
Montenegro,251280,4317,4317,0,251,,
Czech Republic,4886177,4115,4115,0,4886,,
Latvia,977798,4104,4104,0,978,,
Moldova,656455,4042,4042,0,656,,
Slovakia,1889642,3909,3909,0,1890,,
Greece,5860196,3864,3864,0,5860,,
San Marino,25292,3693,3693,0,25,,
United States,103436829,3618,3618,0,103437,,
Romania,3603852,3604,3604,0,3604,,
Lithuania,1448050,3522,3522,0,1448,,
United Kingdom,25112865,3404,3404,0,25113,,
Brazil,37978000,3346,3346,0,37978,,
Italy,26969856,3329,3329,0,26970,,
Chile,5410454,3298,3298,0,5410,,
Martinique,230354,3159,3159,0,230,,
Poland,6841336,3151,3151,0,6841,,
Armenia,454894,3049,3049,0,455,,
Gibraltar,20550,3002,3002,0,21,,
Belgium,4907118,2949,2949,0,4907,,
Paraguay,735759,2940,2940,0,736,,
Trinidad and Tobago,191496,2934,2934,0,191,,
Argentina,10118953,2881,2881,0,10119,,
Portugal,5671586,2845,2845,0,5672,,
European Union[b],186970603,2831,2831,0,186971,,
Sweden,2785768,2798,2798,0,2786,,
Russia,24901467,2777,2777,0,24901,,
Colombia,6402780,2760,2760,0,6403,,
Aruba,44224,2708,2708,0,44,,
Ukraine,5555243,2678,2678,0,5555,,
Serbia,2568005,2658,2658,0,2568,,
Guadeloupe,203235,2654,2654,0,203,,
France,39058710,2616,2616,0,39059,,
Mexico,7629928,2605,2605,0,7630,,
Spain,13980340,2548,2548,0,13980,,
Bermuda,18860,2547,2547,0,19,,
Guam,52287,2536,2536,0,52,,
Estonia,617344,2530,2530,0,617,,
Austria,6083769,2485,2485,0,6084,,
Tunisia,1153361,2427,2427,0,1153,,
French Polynesia,79451,2318,2318,0,79,,
Saint Lucia,30254,2293,2293,0,30,,
Uruguay,1043230,2269,2269,0,1043,,
Liechtenstein,21649,2262,2262,0,22,,
Suriname,82516,2256,2256,0,83,,
Sint Maarten,11051,2182,2182,0,11,,
Bahamas,39127,2135,2135,0,39,,
Malta,125286,2118,2118,0,125,,
Barbados,109141,2100,2100,0,109,,
Germany,38437952,2080,2080,0,38438,,
Finland,1517778,2058,2058,0,1518,,
Grenada,19693,2035,2035,0,20,,
Ecuador,1081993,2023,2023,0,1082,,
Panama,1045662,2006,2006,0,1046,,
Andorra,48015,1994,1994,0,48,,
Republic of Ireland,1766266,1912,1912,0,1766,,
Lebanon,1239904,1905,1905,0,1240,,
Kosovo,274279,1869,1869,0,274,,
Bolivia,1212180,1853,1853,0,1212,,
Costa Rica,1242731,1849,1849,0,1243,,
Puerto Rico,1252713,1832,1832,0,1253,,
Hong Kong,2876106,1798,1798,0,2876,,
Montserrat,1403,1787,1787,1,1,,
Monaco,17181,1720,1720,0,17,,
Belize,71493,1708,1708,0,71,,
Denmark,3453415,1696,1696,0,3453,,
British Virgin Islands,7661,1669,1669,0,8,,
Curaçao,45883,1645,1645,0,46,,
South Africa,4073151,1644,1644,0,4073,,
Iran,7627863,1640,1640,0,7628,,
Switzerland,4491534,1611,1611,0,4492,,
Guyana,75520,1596,1596,0,76,,
Collectivity of Saint Martin,12324,1591,1591,0,12,,
Antigua and Barbuda,9106,1572,1572,0,9,,
Jersey,66391,1555,1555,0,66,,
Luxembourg,401517,1530,1530,0,402,,
United States Virgin Islands,25389,1525,1525,0,25,,
Cyprus,718652,1450,1450,0,719,,
Caribbean Netherlands,11922,1430,1430,0,12,,
Canada,4819055,1424,1424,0,4819,,
Namibia,172557,1422,1422,0,173,,
Israel,4841701,1395,1395,0,4842,,
French Guiana,98041,1384,1384,0,98,,
Isle of Man,38008,1378,1378,0,38,,
Seychelles,51899,1370,1370,0,52,,
Netherlands,8648106,1283,1283,0,8648,,
Jamaica,157666,1279,1279,0,158,,
Albania,337234,1275,1275,0,337,,
Jordan,1746997,1254,1254,0,1747,,
Saint Vincent and the Grenadines,9674,1214,1214,0,10,,
Eswatini,75356,1170,1170,0,75,,
Turkey,17004725,1164,1164,0,17005,,
Botswana,330699,1148,1148,0,331,,
Guatemala,1255261,1132,1132,0,1255,,
Dominica,16047,1107,1107,0,16,,
New Caledonia,80203,1093,1093,0,80,,
Malaysia,5329836,1076,1076,0,5330,,
Palestine,703228,1075,1075,0,703,,
Honduras,473041,1062,1062,0,473,,
Réunion,494595,1056,1056,0,495,,
Guernsey,35326,1050,1050,0,35,,
Norway,1551217,1050,1050,0,1551,,
Azerbaijan,836510,1005,1005,0,837,,
Bahrain,696614,1001,1001,0,697,,
Saint Kitts and Nevis,6607,984,984,0,7,,
Oman,399449,978,978,0,399,,
Australia,11861161,963,963,0,11861,,
Fiji,69047,962,962,0,69,,
Kazakhstan,1504370,951,951,0,1504,,
Turks and Caicos Islands,6933,893,893,0,7,,
Libya,507269,891,891,0,507,,
Northern Mariana Islands,14985,889,889,0,15,,
New Zealand,2668236,884,884,0,2668,,
Anguilla,3904,844,844,0,4,,
Mauritius,332105,841,841,0,332,,
Cabo Verde,64550,802,802,0,65,,
Wallis and Futuna,3760,782,782,0,4,,
Belarus,994085,775,775,0,994,,
Cuba,1113834,771,771,0,1114,,
Sri Lanka,672812,740,740,0,673,,
Taiwan,9970937,739,739,0,9971,,
American Samoa,8359,702,702,0,8,,
South Korea,34571873,693,693,0,34572,,
El Salvador,202066,673,673,0,202,,
Mongolia,1011489,630,630,0,1011,,
Mayotte,42027,612,612,0,42,,
Maldives,186694,602,602,0,187,,
Japan,33803572,597,597,0,33804,,
Philippines,4173631,586,586,0,4174,,
Indonesia,6830274,581,581,0,6830,,
Federated States of Micronesia,31765,579,579,0,32,,
Iraq,2465545,575,575,0,2466,,
Palau,6372,562,562,0,6,,
Kuwait,667290,559,559,0,667,,
Faroe Islands,34658,518,518,0,35,,
Cayman Islands,31472,516,516,0,31,,
Iceland,211246,489,489,0,211,,
Thailand,5419906,487,487,0,5420,,
Saint Barthélemy,5507,456,456,0,6,,
Morocco,1279115,436,436,0,1279,,
Vietnam,11624000,433,433,0,11624,,
Marshall Islands,16297,424,424,0,16,,
Nepal,1003946,404,404,0,1004,,
Brunei,350550,399,399,0,351,,
Dominican Republic,661103,390,390,0,661,,
Greenland,11971,374,374,0,12,,
India,45056126,374,374,0,45056,,
Myanmar,643401,362,362,0,643,,
Singapore,3006155,358,358,0,3006,,
Zimbabwe,266436,357,357,0,266,,
Sao Tome and Principe,6771,353,353,0,7,,
Saint Pierre and Miquelon,3426,347,347,0,3,,
Lesotho,36140,310,310,0,36,,
Saudi Arabia,841469,299,299,0,841,,
Solomon Islands,25954,254,254,0,26,,
Qatar,514524,238,238,0,515,,
United Arab Emirates,1067030,229,229,0,1067,,
Egypt,516023,220,220,0,516,,
Venezuela,552743,207,207,0,553,,
Mauritania,63891,204,204,0,64,,
Zambia,349892,202,202,0,350,,
Afghanistan,235214,197,197,0,235,,
Comoros,9109,193,193,0,9,,
Kiribati,5085,183,183,0,5,,
Cambodia,139326,177,177,0,139,,
Bangladesh,2052275,174,174,0,2052,,
Macau,3514,174,174,0,4,,
Djibouti,15690,166,166,0,16,,
Algeria,272435,151,151,0,272,,
Kyrgyzstan,88953,147,147,0,89,,
Samoa,17057,144,144,0,17,,
Gambia,12627,141,141,0,13,,
Syria,57423,140,140,0,57,,
Cook Islands,7375,135,135,0,7,,
Malawi,89168,130,130,0,89,,
Gabon,49069,126,126,0,49,,
Pakistan,1580631,125,125,0,1581,,
Tonga,16992,123,123,0,17,,
Senegal,89437,111,111,0,89,,
Rwanda,133274,107,107,0,133,,
Kenya,344140,104,104,0,344,,
Sudan,63993,102,102,0,64,,
Equatorial Guinea,17130,101,101,0,17,,
Timor-Leste,23460,100,100,0,23,,
Tuvalu,2943,99,99,0,3,,
Laos,219060,88,88,0,219,,
China[c],99381761,85,85,0,99382,,
Nauru,5393,84,84,0,5,,
Guinea-Bissau,9614,84,84,0,10,,
Uganda,172222,76,76,0,172,,
Somalia,27334,76,76,0,27,,
Haiti,35027,74,74,0,35,,
Cameroon,125320,71,71,0,125,,
Mozambique,233927,68,68,0,234,,
Papua New Guinea,46864,65,65,0,47,,
Republic of the Congo,25234,64,64,0,25,,
Ethiopia,501324,60,60,0,501,,
Yemen,11945,56,56,0,12,,
Liberia,8090,54,54,0,8,,
Angola,107487,54,54,0,107,,
Madagascar,68733,46,46,0,69,,
Vanuatu,12019,44,44,0,12,,
Ghana,172779,44,44,0,173,,
Nicaragua,16805,36,36,0,17,,
Togo,39553,35,35,0,40,,
Guinea,38593,33,33,0,39,,
Mali,33199,32,32,0,33,,
Eritrea,10189,30,30,0,10,,
Uzbekistan,175158,29,29,0,175,,
Ivory Coast,88434,27,27,0,88,,
Bhutan,63193,26,26,0,63,,
Central African Republic,15492,22,22,0,15,,
Burkina Faso,22217,17,17,0,22,,
Sierra Leone,7985,15,15,0,8,,
Democratic Republic of the Congo,101010,14,14,0,101,,
Nigeria,267229,14,14,0,267,,
South Sudan,18873,13,13,0,19,,
Tanzania,43606,13,13,0,44,,
Niger,9573,12,12,0,10,,
Tajikistan,17786,12,12,0,18,,
Benin,28036,11,11,0,28,,
Chad,7702,10,10,0,8,,
Burundi,54569,1,1,0,55,,
Vatican City,26,0,0,0,0,,
Niue,1092,0,0,0,1,,
Falkland Islands,1923,0,0,0,2,,
"Saint Helena, Ascension and Tristan da Cunha",2166,0,0,0,2,,
Pitcairn Islands,4,0,0,0,0,,
Tokelau,80,0,0,0,0,,
,,,,,,,
,,,,,,,
,,,,,,,
